,org:resource,lifecycle:transition,concept:name,time:timestamp,case:REG_DATE,case:concept:name,case:AMOUNT_REQ
0,112,COMPLETE,A_SUBMITTED,2011-10-01 00:38:44.546000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
1,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 00:38:44.880000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
2,112,COMPLETE,A_PREACCEPTED,2011-10-01 00:39:37.906000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
3,10862,COMPLETE,A_ACCEPTED,2011-10-01 11:42:43.308000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
4,10862,COMPLETE,A_FINALIZED,2011-10-01 11:45:09.243000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
5,10629,COMPLETE,A_REGISTERED,2011-10-13 10:37:29.226000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
6,10629,COMPLETE,A_APPROVED,2011-10-13 10:37:29.226000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
7,10629,COMPLETE,A_ACTIVATED,2011-10-13 10:37:29.226000+02:00,2011-10-01 00:38:44.546000+02:00,173688,20000
8,112,COMPLETE,A_SUBMITTED,2011-10-01 08:08:58.256000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
9,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 08:09:02.195000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
10,112,COMPLETE,A_PREACCEPTED,2011-10-01 08:09:56.648000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
11,10862,COMPLETE,A_ACCEPTED,2011-10-01 14:33:54.614000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
12,10862,COMPLETE,A_FINALIZED,2011-10-01 14:35:46.016000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
13,10809,COMPLETE,A_APPROVED,2011-10-10 14:17:26.307000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
14,10809,COMPLETE,A_REGISTERED,2011-10-10 14:17:26.307000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
15,10809,COMPLETE,A_ACTIVATED,2011-10-10 14:17:26.307000+02:00,2011-10-01 08:08:58.256000+02:00,173691,5000
16,112,COMPLETE,A_SUBMITTED,2011-10-01 08:10:30.287000+02:00,2011-10-01 08:10:30.287000+02:00,173694,7000
17,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 08:10:30.591000+02:00,2011-10-01 08:10:30.287000+02:00,173694,7000
18,112,COMPLETE,A_PREACCEPTED,2011-10-01 08:11:13.026000+02:00,2011-10-01 08:10:30.287000+02:00,173694,7000
19,11201,COMPLETE,A_ACCEPTED,2011-10-03 13:34:25.421000+02:00,2011-10-01 08:10:30.287000+02:00,173694,7000
20,11201,COMPLETE,A_FINALIZED,2011-10-03 13:40:14.632000+02:00,2011-10-01 08:10:30.287000+02:00,173694,7000
21,10609,COMPLETE,A_APPROVED,2011-11-04 16:04:52.612000+01:00,2011-10-01 08:10:30.287000+02:00,173694,7000
22,10609,COMPLETE,A_REGISTERED,2011-11-04 16:04:52.612000+01:00,2011-10-01 08:10:30.287000+02:00,173694,7000
23,10609,COMPLETE,A_ACTIVATED,2011-11-04 16:04:52.612000+01:00,2011-10-01 08:10:30.287000+02:00,173694,7000
24,112,COMPLETE,A_SUBMITTED,2011-10-01 08:11:08.866000+02:00,2011-10-01 08:11:08.865000+02:00,173697,15000
25,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 08:11:09.035000+02:00,2011-10-01 08:11:08.865000+02:00,173697,15000
26,112,COMPLETE,A_DECLINED,2011-10-01 08:11:46.420000+02:00,2011-10-01 08:11:08.865000+02:00,173697,15000
27,112,COMPLETE,A_SUBMITTED,2011-10-01 08:15:39.894000+02:00,2011-10-01 08:15:39.894000+02:00,173700,5000
28,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 08:15:40.102000+02:00,2011-10-01 08:15:39.894000+02:00,173700,5000
29,112,COMPLETE,A_DECLINED,2011-10-01 08:16:21.037000+02:00,2011-10-01 08:15:39.894000+02:00,173700,5000
30,112,COMPLETE,A_SUBMITTED,2011-10-01 09:45:25.806000+02:00,2011-10-01 09:45:25.806000+02:00,173703,13500
31,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:45:25.981000+02:00,2011-10-01 09:45:25.806000+02:00,173703,13500
32,112,COMPLETE,A_PREACCEPTED,2011-10-01 09:46:18.211000+02:00,2011-10-01 09:45:25.806000+02:00,173703,13500
33,10912,COMPLETE,A_CANCELLED,2011-10-01 13:02:11.068000+02:00,2011-10-01 09:45:25.806000+02:00,173703,13500
34,112,COMPLETE,A_SUBMITTED,2011-10-01 09:45:37.274000+02:00,2011-10-01 09:45:37.274000+02:00,173706,18000
35,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:45:37.363000+02:00,2011-10-01 09:45:37.274000+02:00,173706,18000
36,10912,COMPLETE,A_PREACCEPTED,2011-10-01 10:16:48.956000+02:00,2011-10-01 09:45:37.274000+02:00,173706,18000
37,11111,COMPLETE,A_DECLINED,2011-10-01 14:59:58.557000+02:00,2011-10-01 09:45:37.274000+02:00,173706,18000
38,112,COMPLETE,A_SUBMITTED,2011-10-01 09:57:42.994000+02:00,2011-10-01 09:57:42.994000+02:00,173709,11000
39,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:57:43.182000+02:00,2011-10-01 09:57:42.994000+02:00,173709,11000
40,112,COMPLETE,A_PREACCEPTED,2011-10-01 09:58:27.038000+02:00,2011-10-01 09:57:42.994000+02:00,173709,11000
41,112,COMPLETE,A_CANCELLED,2011-11-01 09:15:08.387000+01:00,2011-10-01 09:57:42.994000+02:00,173709,11000
42,112,COMPLETE,A_SUBMITTED,2011-10-01 09:58:30.533000+02:00,2011-10-01 09:58:30.533000+02:00,173712,30000
43,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:58:30.678000+02:00,2011-10-01 09:58:30.533000+02:00,173712,30000
44,10912,COMPLETE,A_PREACCEPTED,2011-10-01 10:10:24.737000+02:00,2011-10-01 09:58:30.533000+02:00,173712,30000
45,11180,COMPLETE,A_CANCELLED,2011-10-03 14:42:53.820000+02:00,2011-10-01 09:58:30.533000+02:00,173712,30000
46,112,COMPLETE,A_SUBMITTED,2011-10-01 09:59:10.501000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
47,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 09:59:10.789000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
48,112,COMPLETE,A_PREACCEPTED,2011-10-01 09:59:42.704000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
49,10912,COMPLETE,A_ACCEPTED,2011-10-01 12:24:32.787000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
50,10912,COMPLETE,A_FINALIZED,2011-10-01 12:30:20.556000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
51,10138,COMPLETE,A_DECLINED,2011-10-13 11:05:24.620000+02:00,2011-10-01 09:59:10.501000+02:00,173715,45000
52,112,COMPLETE,A_SUBMITTED,2011-10-01 10:37:39.363000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
53,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 10:37:39.657000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
54,112,COMPLETE,A_PREACCEPTED,2011-10-01 10:38:20.967000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
55,10862,COMPLETE,A_ACCEPTED,2011-10-01 10:42:21.977000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
56,10862,COMPLETE,A_FINALIZED,2011-10-01 10:44:40.725000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
57,10972,COMPLETE,A_APPROVED,2011-10-27 09:17:53.327000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
58,10972,COMPLETE,A_REGISTERED,2011-10-27 09:17:53.328000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
59,10972,COMPLETE,A_ACTIVATED,2011-10-27 09:17:53.328000+02:00,2011-10-01 10:37:39.362000+02:00,173718,15000
60,112,COMPLETE,A_SUBMITTED,2011-10-01 11:07:34.279000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
61,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 11:07:34.928000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
62,112,COMPLETE,A_PREACCEPTED,2011-10-01 11:08:17.093000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
63,10939,COMPLETE,A_ACCEPTED,2011-10-01 11:18:36.318000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
64,10939,COMPLETE,A_FINALIZED,2011-10-01 11:20:47.605000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
65,11009,COMPLETE,A_DECLINED,2011-10-10 16:28:25.531000+02:00,2011-10-01 11:07:34.279000+02:00,173721,9000
66,112,COMPLETE,A_SUBMITTED,2011-10-01 11:52:14.305000+02:00,2011-10-01 11:52:14.305000+02:00,173724,15000
67,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 11:52:14.576000+02:00,2011-10-01 11:52:14.305000+02:00,173724,15000
68,10939,COMPLETE,A_PREACCEPTED,2011-10-01 12:20:54.061000+02:00,2011-10-01 11:52:14.305000+02:00,173724,15000
69,11201,COMPLETE,A_DECLINED,2011-10-03 15:48:17.469000+02:00,2011-10-01 11:52:14.305000+02:00,173724,15000
70,112,COMPLETE,A_SUBMITTED,2011-10-01 12:08:46.663000+02:00,2011-10-01 12:08:46.663000+02:00,173727,10000
71,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 12:08:46.803000+02:00,2011-10-01 12:08:46.663000+02:00,173727,10000
72,112,COMPLETE,A_DECLINED,2011-10-01 12:09:30.362000+02:00,2011-10-01 12:08:46.663000+02:00,173727,10000
73,112,COMPLETE,A_SUBMITTED,2011-10-01 12:36:08.943000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
74,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 12:36:09.207000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
75,112,COMPLETE,A_PREACCEPTED,2011-10-01 12:36:59.265000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
76,11203,COMPLETE,A_ACCEPTED,2011-10-01 15:36:06.372000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
77,11203,COMPLETE,A_FINALIZED,2011-10-01 15:40:08.255000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
78,10972,COMPLETE,A_ACTIVATED,2011-10-21 09:08:14.251000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
79,10972,COMPLETE,A_REGISTERED,2011-10-21 09:08:14.251000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
80,10972,COMPLETE,A_APPROVED,2011-10-21 09:08:14.251000+02:00,2011-10-01 12:36:08.943000+02:00,173730,15000
81,112,COMPLETE,A_SUBMITTED,2011-10-01 12:39:34.037000+02:00,2011-10-01 12:39:34.037000+02:00,173733,6000
82,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 12:39:34.130000+02:00,2011-10-01 12:39:34.037000+02:00,173733,6000
83,10939,COMPLETE,A_DECLINED,2011-10-01 14:54:53.037000+02:00,2011-10-01 12:39:34.037000+02:00,173733,6000
84,112,COMPLETE,A_SUBMITTED,2011-10-01 13:01:58.813000+02:00,2011-10-01 13:01:58.813000+02:00,173736,15000
85,112,COMPLETE,A_PARTLYSUBMITTED,2011-10-01 13:01:59.052000+02:00,2011-10-01 13:01:58.813000+02:00,173736,15000
