,activity,start,end,type,user,travel_start,travel_end,case,cost
0,file travel request,17.01.17 11:17,17.01.17 11:23,Employee,JB8510,10.01.17,15.01.17,105,
1,check if travel request needs preliminary price inquiry,17.01.17 11:23,17.01.17 11:24,Employee,JB8510,10.01.17,15.01.17,105,
2,decide on approval requirements,17.01.17 11:24,17.01.17 11:24,Employee,JB8510,10.01.17,15.01.17,105,
3,check if booking is necessary,17.01.17 11:24,17.01.17 11:40,Travel Department,KS9688,10.01.17,15.01.17,105,
4,check if expense documents exist,18.01.17 05:59,18.01.17 06:31,Employee,JB8510,10.01.17,15.01.17,105,
5,upload travel expense documents,18.01.17 06:31,18.01.17 06:39,Employee,JB8510,10.01.17,15.01.17,105,
6,file travel expense report,18.01.17 06:39,18.01.17 06:54,Employee,JB8510,10.01.17,15.01.17,105,
7,confirm travel expense report,18.01.17 06:54,18.01.17 06:57,Employee,JB8510,10.01.17,15.01.17,105,
8,decide on travel expense approval,18.01.17 12:59,18.01.17 13:03,Manager,MA6233,10.01.17,15.01.17,105,
9,send original documents to archive,02.06.17 05:59,02.06.17 06:45,Employee,JB8510,10.01.17,15.01.17,105,
10,calculate payments,03.10.17 11:13,03.10.17 11:52,Accounting,WO40,10.01.17,15.01.17,105,
11,pay expenses,17.03.17 08:06,17.03.17 08:11,Accounting,WO40,10.01.17,15.01.17,105,
12,file travel request,01.01.17 13:30,01.02.17 06:03,Employee,BO5849,10.04.17,11.04.17,1446,
13,check if travel request needs preliminary price inquiry,01.02.17 06:03,01.02.17 06:04,,,10.04.17,11.04.17,1446,
14,prepare booking proposal,01.03.17 15:51,01.03.17 17:10,Travel Department,NV2279,10.04.17,11.04.17,1446,
15,send booking proposal to employee,01.05.17 15:31,01.05.17 15:34,Travel Department,NV2279,10.04.17,11.04.17,1446,
16,check booking proposal,01.05.17 20:27,01.05.17 20:31,Employee,BO5849,10.04.17,11.04.17,1446,
17,check if price inquiry is still needed and up to date,01.11.17 05:59,01.11.17 06:18,Employee,BO5849,10.04.17,11.04.17,1446,
18,request update of the booking proposal,01.11.17 06:18,01.11.17 06:19,Employee,BO5849,10.04.17,11.04.17,1446,
19,prepare booking proposal,13.01.17 13:27,13.01.17 14:08,Travel Department,NV2279,10.04.17,11.04.17,1446,
20,send booking proposal to employee,18.01.17 09:10,18.01.17 09:13,Travel Department,NV2279,10.04.17,11.04.17,1446,
21,check booking proposal,18.01.17 13:33,18.01.17 13:36,Employee,BO5849,10.04.17,11.04.17,1446,
22,transform price inquiry to travel request,18.01.17 13:44,18.01.17 13:44,Employee,BO5849,10.04.17,11.04.17,1446,
23,decide on approval requirements,18.01.17 13:44,18.01.17 13:44,,,10.04.17,11.04.17,1446,
24,check if booking is necessary,23.01.17 10:33,23.01.17 10:36,Travel Department,NV2279,10.04.17,11.04.17,1446,
25,check if expense documents exist,24.04.17 08:36,24.04.17 09:14,Employee,BO5849,10.04.17,11.04.17,1446,
26,upload travel expense documents,24.04.17 09:14,24.04.17 09:28,Employee,BO5849,10.04.17,11.04.17,1446,
27,file travel expense report,24.04.17 09:28,24.04.17 09:40,Employee,BO5849,10.04.17,11.04.17,1446,
28,confirm travel expense report,24.04.17 09:40,24.04.17 09:42,Employee,BO5849,10.04.17,11.04.17,1446,
29,decide on travel expense approval,24.04.17 14:09,24.04.17 14:15,Manager,TD8091,10.04.17,11.04.17,1446,
30,send request for travel expense correction,24.04.17 14:15,24.04.17 14:17,,,10.04.17,11.04.17,1446,
31,correct travel expense report,27.04.17 14:30,27.04.17 15:31,Employee,BO5849,10.04.17,11.04.17,1446,
32,decide on travel expense approval,28.04.17 13:59,28.04.17 14:05,Manager,TD8091,10.04.17,11.04.17,1446,
33,send original documents to archive,05.08.17 06:59,05.08.17 07:26,Employee,BO5849,10.04.17,11.04.17,1446,
34,calculate payments,19.05.17 13:46,19.05.17 14:09,Accounting,CX8911,10.04.17,11.04.17,1446,
35,pay expenses,29.05.17 09:25,29.05.17 09:36,Accounting,CX8911,10.04.17,11.04.17,1446,
36,file travel request,01.01.17 15:00,01.02.17 06:14,Employee,OD3807,15.02.17,17.02.17,1447,
37,check if travel request needs preliminary price inquiry,01.02.17 06:14,01.02.17 06:14,,,15.02.17,17.02.17,1447,
38,decide on approval requirements,01.02.17 06:14,01.02.17 06:15,,,15.02.17,17.02.17,1447,
39,check if booking is necessary,01.04.17 08:03,01.04.17 08:06,Travel Department,NV2279,15.02.17,17.02.17,1447,
40,prepare booking proposal,01.06.17 09:34,01.06.17 10:36,Travel Department,NV2279,15.02.17,17.02.17,1447,
41,send booking proposal to employee,01.10.17 12:02,01.10.17 12:06,Travel Department,NV2279,15.02.17,17.02.17,1447,
42,check booking proposal,01.10.17 17:10,01.10.17 17:21,Employee,OD3807,15.02.17,17.02.17,1447,
43,book travel,13.01.17 12:13,13.01.17 12:46,Travel Department,NV2279,15.02.17,17.02.17,1447,
44,check if expense documents exist,22.02.17 05:59,22.02.17 06:32,Employee,OD3807,15.02.17,17.02.17,1447,
45,upload travel expense documents,22.02.17 06:32,22.02.17 06:41,Employee,OD3807,15.02.17,17.02.17,1447,
46,file travel expense report,22.02.17 06:41,22.02.17 06:52,Employee,OD3807,15.02.17,17.02.17,1447,
47,confirm travel expense report,22.02.17 06:52,22.02.17 06:55,Employee,OD3807,15.02.17,17.02.17,1447,
48,decide on travel expense approval,22.02.17 13:01,22.02.17 13:03,Manager,MV9004,15.02.17,17.02.17,1447,
49,send original documents to archive,03.06.17 05:59,03.06.17 06:21,Employee,OD3807,15.02.17,17.02.17,1447,
50,calculate payments,21.03.17 12:04,21.03.17 12:42,Accounting,FI12,15.02.17,17.02.17,1447,
51,pay expenses,29.03.17 12:24,29.03.17 13:32,Accounting,FI12,15.02.17,17.02.17,1447,
52,file travel request,01.01.17 16:30,01.02.17 06:10,Employee,KR2543,06.02.17,08.02.17,1448,
53,check if travel request needs preliminary price inquiry,01.02.17 06:10,01.02.17 06:11,,,06.02.17,08.02.17,1448,
54,decide on approval requirements,01.02.17 06:11,01.02.17 06:12,,,06.02.17,08.02.17,1448,
55,check if booking is necessary,01.04.17 07:59,01.04.17 08:02,Travel Department,JV9257,06.02.17,08.02.17,1448,
56,prepare booking proposal,01.06.17 09:03,01.06.17 10:31,Travel Department,JV9257,06.02.17,08.02.17,1448,
57,send booking proposal to employee,01.10.17 12:01,01.10.17 12:02,Travel Department,JV9257,06.02.17,08.02.17,1448,
58,check booking proposal,01.10.17 13:15,01.10.17 13:20,Employee,KR2543,06.02.17,08.02.17,1448,
59,check if travel request is still needed and up to date,01.12.17 05:59,01.12.17 06:24,Employee,KR2543,06.02.17,08.02.17,1448,
60,request update of the booking proposal,01.12.17 06:24,01.12.17 06:25,Employee,KR2543,06.02.17,08.02.17,1448,
61,prepare booking proposal,17.01.17 08:07,17.01.17 09:54,Travel Department,JV9257,06.02.17,08.02.17,1448,
62,send booking proposal to employee,19.01.17 13:08,19.01.17 13:13,Travel Department,JV9257,06.02.17,08.02.17,1448,
63,check booking proposal,19.01.17 16:28,19.01.17 16:30,Employee,KR2543,06.02.17,08.02.17,1448,
64,book travel,25.01.17 08:09,25.01.17 10:35,Travel Department,JV9257,06.02.17,08.02.17,1448,
65,check if expense documents exist,13.02.17 05:59,13.02.17 06:10,Employee,KR2543,06.02.17,08.02.17,1448,
66,upload travel expense documents,13.02.17 06:10,13.02.17 06:15,Employee,KR2543,06.02.17,08.02.17,1448,
67,file travel expense report,13.02.17 06:15,13.02.17 06:24,Employee,KR2543,06.02.17,08.02.17,1448,
68,confirm travel expense report,13.02.17 06:24,13.02.17 06:25,Employee,KR2543,06.02.17,08.02.17,1448,
69,decide on travel expense approval,13.02.17 13:02,13.02.17 13:04,Manager,CV4719,06.02.17,08.02.17,1448,
70,send request for travel expense correction,13.02.17 13:04,13.02.17 13:05,,,06.02.17,08.02.17,1448,
71,correct travel expense report,23.02.17 13:20,23.02.17 13:38,Employee,KR2543,06.02.17,08.02.17,1448,
72,decide on travel expense approval,24.02.17 12:59,24.02.17 13:02,Manager,CV4719,06.02.17,08.02.17,1448,
73,send request for travel expense correction,24.02.17 13:02,24.02.17 13:03,,,06.02.17,08.02.17,1448,
74,correct travel expense report,27.02.17 05:59,27.02.17 06:48,Employee,KR2543,06.02.17,08.02.17,1448,
75,decide on travel expense approval,27.02.17 13:06,27.02.17 13:08,Manager,CV4719,06.02.17,08.02.17,1448,
76,send original documents to archive,03.08.17 19:29,03.08.17 20:06,Employee,KR2543,06.02.17,08.02.17,1448,
77,calculate payments,20.03.17 07:59,20.03.17 08:15,Accounting,FI12,06.02.17,08.02.17,1448,
78,pay expenses,28.03.17 12:32,28.03.17 13:42,Accounting,FI12,06.02.17,08.02.17,1448,
79,file travel request,01.01.17 18:00,01.02.17 06:09,Employee,EU8916,13.02.17,18.02.17,1449,
80,check if travel request needs preliminary price inquiry,01.02.17 06:09,01.02.17 06:10,,,13.02.17,18.02.17,1449,
81,prepare booking proposal,01.04.17 07:59,01.04.17 09:37,Travel Department,WG5857,13.02.17,18.02.17,1449,
82,send booking proposal to employee,01.06.17 10:47,01.06.17 10:49,Travel Department,WG5857,13.02.17,18.02.17,1449,
83,check booking proposal,01.06.17 10:53,01.06.17 11:00,Employee,EU8916,13.02.17,18.02.17,1449,
84,transform price inquiry to travel request,01.06.17 11:00,01.06.17 11:00,Employee,EU8916,13.02.17,18.02.17,1449,
85,decide on approval requirements,01.06.17 11:00,01.06.17 11:02,,,13.02.17,18.02.17,1449,
86,check if booking is necessary,01.10.17 12:06,01.10.17 12:09,Travel Department,WG5857,13.02.17,18.02.17,1449,
87,check if expense documents exist,23.02.17 19:44,23.02.17 20:48,Employee,EU8916,13.02.17,18.02.17,1449,
88,file travel expense report,23.02.17 20:48,23.02.17 21:05,Employee,EU8916,13.02.17,18.02.17,1449,
89,confirm travel expense report,23.02.17 21:05,23.02.17 21:07,Employee,EU8916,13.02.17,18.02.17,1449,
90,decide on travel expense approval,24.02.17 12:59,24.02.17 13:02,Manager,MU7591,13.02.17,18.02.17,1449,
91,send request for travel expense correction,24.02.17 13:02,24.02.17 13:02,,,13.02.17,18.02.17,1449,
92,correct travel expense report,03.06.17 05:59,03.06.17 06:45,Employee,EU8916,13.02.17,18.02.17,1449,
93,decide on travel expense approval,03.06.17 13:04,03.06.17 13:05,Manager,MU7591,13.02.17,18.02.17,1449,
94,send request for travel expense correction,03.06.17 13:05,03.06.17 13:06,,,13.02.17,18.02.17,1449,
95,correct travel expense report,13.03.17 05:59,13.03.17 06:08,Employee,EU8916,13.02.17,18.02.17,1449,
96,decide on travel expense approval,13.03.17 12:59,13.03.17 13:00,Manager,MU7591,13.02.17,18.02.17,1449,
97,send original documents to archive,23.03.17 12:26,23.03.17 13:02,Employee,EU8916,13.02.17,18.02.17,1449,
98,calculate payments,04.05.17 10:40,04.05.17 12:10,Accounting,FI12,13.02.17,18.02.17,1449,
99,pay expenses,17.04.17 09:38,17.04.17 09:43,Accounting,FI12,13.02.17,18.02.17,1449,
100,file travel request,01.01.17 19:30,01.02.17 06:10,Employee,NA4675,22.05.17,27.05.17,1450,
101,check if travel request needs preliminary price inquiry,01.02.17 06:10,01.02.17 06:11,,,22.05.17,27.05.17,1450,
102,decide on approval requirements,01.02.17 06:11,01.02.17 06:12,,,22.05.17,27.05.17,1450,
103,check if booking is necessary,01.04.17 07:59,01.04.17 08:01,Travel Department,WG5857,22.05.17,27.05.17,1450,
104,prepare booking proposal,01.06.17 08:48,01.06.17 09:34,Travel Department,WG5857,22.05.17,27.05.17,1450,
105,send booking proposal to employee,01.10.17 11:48,01.10.17 11:48,Travel Department,WG5857,22.05.17,27.05.17,1450,
106,check booking proposal,01.10.17 15:25,01.10.17 15:27,Employee,NA4675,22.05.17,27.05.17,1450,
107,check if travel request is still needed and up to date,16.01.17 05:59,16.01.17 06:29,Employee,NA4675,22.05.17,27.05.17,1450,
108,request update of the booking proposal,16.01.17 06:29,16.01.17 06:29,Employee,NA4675,22.05.17,27.05.17,1450,
109,prepare booking proposal,18.01.17 14:21,18.01.17 16:00,Travel Department,WG5857,22.05.17,27.05.17,1450,
110,send booking proposal to employee,23.01.17 13:16,23.01.17 13:21,Travel Department,WG5857,22.05.17,27.05.17,1450,
111,check booking proposal,23.01.17 14:53,23.01.17 14:58,Employee,NA4675,22.05.17,27.05.17,1450,
112,check if travel request is still needed and up to date,26.01.17 05:59,26.01.17 06:23,Employee,NA4675,22.05.17,27.05.17,1450,
113,request update of the booking proposal,26.01.17 06:23,26.01.17 06:23,Employee,NA4675,22.05.17,27.05.17,1450,
114,prepare booking proposal,30.01.17 11:09,30.01.17 12:35,Travel Department,WG5857,22.05.17,27.05.17,1450,
115,send booking proposal to employee,02.03.17 07:59,02.03.17 08:03,Travel Department,WG5857,22.05.17,27.05.17,1450,
116,check booking proposal,02.03.17 08:45,02.03.17 08:48,Employee,NA4675,22.05.17,27.05.17,1450,
117,check if travel request is still needed and up to date,02.08.17 08:42,02.08.17 09:01,Employee,NA4675,22.05.17,27.05.17,1450,
118,request update of the booking proposal,02.08.17 09:01,02.08.17 09:02,Employee,NA4675,22.05.17,27.05.17,1450,
119,prepare booking proposal,13.02.17 13:13,13.02.17 13:48,Travel Department,WG5857,22.05.17,27.05.17,1450,
120,send booking proposal to employee,17.02.17 08:10,17.02.17 08:12,Travel Department,WG5857,22.05.17,27.05.17,1450,
121,check booking proposal,17.02.17 10:21,17.02.17 10:23,Employee,NA4675,22.05.17,27.05.17,1450,
122,book travel,22.02.17 09:38,22.02.17 10:53,Travel Department,WG5857,22.05.17,27.05.17,1450,
123,check if expense documents exist,06.01.17 10:06,06.01.17 10:42,Employee,NA4675,22.05.17,27.05.17,1450,
124,upload travel expense documents,06.01.17 10:42,06.01.17 10:54,Employee,NA4675,22.05.17,27.05.17,1450,
125,file travel expense report,06.01.17 10:54,06.01.17 11:04,Employee,NA4675,22.05.17,27.05.17,1450,
